card_id,도메인,라벨,설명,키워드,출처_공고수,출처_회사,원본_card_id
1,핀테크·금융,펀딩 서비스 현황 진단,크라우드펀딩 서비스가 잘 운영되고 있는지 살펴보고 개선할 지점을 찾는 일,크라우드펀딩;서비스진단;개선점도출,1,와디즈,1
2,핀테크·금융,펀딩 성과 지표 관리,크라우드펀딩 프로젝트의 성과를 한눈에 볼 수 있게 지표를 정리하는 일,크라우드펀딩;성과지표;대시보드,1,와디즈,2
3,핀테크·금융,펀딩 현황 정보 공유,크라우드펀딩 운영 현황을 정리해 관련 부서에 전달하는 일,크라우드펀딩;정보공유;부서협업,1,와디즈,3
4,핀테크·금융,펀딩팀 간 협업 지원,크라우드펀딩 서비스를 함께 만드는 여러 부서가 같은 근거로 소통하도록 돕는 일,크라우드펀딩;협업지원;부서소통,1,와디즈,4
5,핀테크·금융,세무서비스 이용 트렌드 분석,고객이 환급·세무 서비스를 어떻게 이용하는지 트렌드를 살펴보는 일,세무서비스;이용트렌드;고객분석,1,삼쩜삼,9
6,핀테크·금융,세무서비스 마케팅 인사이트 제공,분석 결과를 바탕으로 세무 서비스 마케팅 방향을 제안하는 일,세무서비스;마케팅인사이트;의사결정지원,1,삼쩜삼,10
7,핀테크·금융,세무서비스 핵심 지표 발굴,세무·환급 서비스의 성과를 보여줄 새로운 핵심 지표를 찾아내는 일,세무서비스;핵심지표;성과측정,1,삼쩜삼,11
8,핀테크·금융,세무서비스 현황 리포팅,세무 서비스 운영 현황을 정기적으로 정리해 의사결정을 돕는 일,세무서비스;정기리포팅;의사결정지원,1,삼쩜삼,12
9,핀테크·금융,세무서비스 데이터 설계,대시보드에 쓰일 세무 서비스 데이터를 모으고 구조를 설계하는 일,세무서비스;데이터설계;대시보드기반,1,삼쩜삼,13
10,핀테크·금융,세무서비스 대시보드 구축,세무·환급 서비스 현황을 보여주는 대시보드를 만들고 운영하는 일,세무서비스;대시보드;서비스운영,1,삼쩜삼,7
11,핀테크·금융,은행 서비스 과제 해결,은행 사업에서 생기는 과제를 정의하고 해결 방안을 도출하는 일,인터넷은행;과제정의;해결방안,1,토스뱅크,20
12,핀테크·금융,신용·상품 모형 개발,신용을 평가하거나 금융 상품 전략을 세우는 데 쓰이는 모형을 개발하는 일,신용평가;상품전략;고객특성,1,토스뱅크,21
13,핀테크·금융,은행 프로세스 효율화,계좌개설·수신·카드 발급 등 은행 업무 절차를 더 효율적으로 만드는 일,계좌개설;은행프로세스;업무효율화,1,토스뱅크,22
14,헬스케어·뷰티,시술 맞춤 추천,이용자에게 맞는 의료·미용 시술 콘텐츠를 추천하는 일,메디컬뷰티;맞춤추천;개인화,1,힐링페이퍼,23
15,헬스케어·뷰티,병원·시술 검색 순위 최적화,검색 결과에서 병원·시술 정보가 적절한 순서로 보이도록 만드는 일,메디컬뷰티;검색최적화;정렬알고리즘,1,힐링페이퍼,24
16,헬스케어·뷰티,후기 텍스트 분석,시술 후기 등 텍스트·음성 데이터를 분석하는 일,메디컬뷰티;후기분석;자연어처리,1,힐링페이퍼,25
